onset	nucleus	coda	shape	jamo	hangul
tm	a	p̚	CNVC	ㄷᄆㅏᆸ	
tm	a	k̚	CNVC	ㄷᄆㅏᆨ	
tm	o	p̚	CNVC	ㄷᄆㅗᆸ	
tm	o	k̚	CNVC	ㄷᄆㅗᆨ	
tm	u	p̚	CNVC	ㄷᄆㅜᆸ	
tm	u	k̚	CNVC	ㄷᄆㅜᆨ	
tn	i	p̚	CNVC	ㄷᄂㅣᆸ	
tn	i	k̚	CNVC	ㄷᄂㅣᆨ	
tn	a	p̚	CNVC	ㄷᄂㅏᆸ	
tn	a	k̚	CNVC	ㄷᄂㅏᆨ	
tn	o	p̚	CNVC	ㄷᄂㅗᆸ	
tn	o	k̚	CNVC	ㄷᄂㅗᆨ	
tn	u	p̚	CNVC	ㄷᄂㅜᆸ	
tn	u	k̚	CNVC	ㄷᄂㅜᆨ	
cm	i	p̚	CNVC	ㅈᄆㅣᆸ	
cm	i	t̚	CNVC	ㅈᄆㅣᆮ	
cm	i	k̚	CNVC	ㅈᄆㅣᆨ	
cm	a	p̚	CNVC	ㅈᄆㅏᆸ	
cm	a	t̚	CNVC	ㅈᄆㅏᆮ	
cm	a	k̚	CNVC	ㅈᄆㅏᆨ	
cm	o	p̚	CNVC	ㅈᄆㅗᆸ	
cm	o	t̚	CNVC	ㅈᄆㅗᆮ	
cm	o	k̚	CNVC	ㅈᄆㅗᆨ	
cm	u	p̚	CNVC	ㅈᄆㅜᆸ	
cm	u	t̚	CNVC	ㅈᄆㅜᆮ	
cm	u	k̚	CNVC	ㅈᄆㅜᆨ	
cn	i	p̚	CNVC	ㅈᄂㅣᆸ	
cn	i	t̚	CNVC	ㅈᄂㅣᆮ	
cn	i	k̚	CNVC	ㅈᄂㅣᆨ	
cn	a	p̚	CNVC	ㅈᄂㅏᆸ	
cn	a	t̚	CNVC	ㅈᄂㅏᆮ	
cn	a	k̚	CNVC	ㅈᄂㅏᆨ	
cn	o	p̚	CNVC	ㅈᄂㅗᆸ	
cn	o	t̚	CNVC	ㅈᄂㅗᆮ	
cn	o	k̚	CNVC	ㅈᄂㅗᆨ	
cn	u	p̚	CNVC	ㅈᄂㅜᆸ	
cn	u	t̚	CNVC	ㅈᄂㅜᆮ	
cn	u	k̚	CNVC	ㅈᄂㅜᆨ	
km	i	p̚	CNVC	ㄱᄆㅣᆸ	
km	i	t̚	CNVC	ㄱᄆㅣᆮ	
km	a	p̚	CNVC	ㄱᄆㅏᆸ	
km	a	t̚	CNVC	ㄱᄆㅏᆮ	
km	o	p̚	CNVC	ㄱᄆㅗᆸ	
km	o	t̚	CNVC	ㄱᄆㅗᆮ	
km	u	p̚	CNVC	ㄱᄆㅜᆸ	
km	u	t̚	CNVC	ㄱᄆㅜᆮ	
kn	i	p̚	CNVC	ㄱᄂㅣᆸ	
kn	i	t̚	CNVC	ㄱᄂㅣᆮ	
kn	a	p̚	CNVC	ㄱᄂㅏᆸ	
kn	a	t̚	CNVC	ㄱᄂㅏᆮ	
kn	o	p̚	CNVC	ㄱᄂㅗᆸ	
kn	o	t̚	CNVC	ㄱᄂㅗᆮ	
kn	u	p̚	CNVC	ㄱᄂㅜᆸ	
kn	u	t̚	CNVC	ㄱᄂㅜᆮ	
pʰm	i	t̚	CNVC	ㅍᄆㅣᆮ	
pʰm	i	k̚	CNVC	ㅍᄆㅣᆨ	
pʰm	a	t̚	CNVC	ㅍᄆㅏᆮ	
pʰm	a	k̚	CNVC	ㅍᄆㅏᆨ	
pʰm	o	t̚	CNVC	ㅍᄆㅗᆮ	
pʰm	o	k̚	CNVC	ㅍᄆㅗᆨ	
pʰm	u	t̚	CNVC	ㅍᄆㅜᆮ	
pʰm	u	k̚	CNVC	ㅍᄆㅜᆨ	
pʰn	i	t̚	CNVC	ㅍᄂㅣᆮ	
pʰn	i	k̚	CNVC	ㅍᄂㅣᆨ	
pʰn	a	t̚	CNVC	ㅍᄂㅏᆮ	
pʰn	a	k̚	CNVC	ㅍᄂㅏᆨ	
pʰn	o	t̚	CNVC	ㅍᄂㅗᆮ	
pʰn	o	k̚	CNVC	ㅍᄂㅗᆨ	
pʰn	u	t̚	CNVC	ㅍᄂㅜᆮ	
pʰn	u	k̚	CNVC	ㅍᄂㅜᆨ	
tʰm	i	p̚	CNVC	ㅌᄆㅣᆸ	
tʰm	i	k̚	CNVC	ㅌᄆㅣᆨ	
tʰm	a	p̚	CNVC	ㅌᄆㅏᆸ	
tʰm	a	k̚	CNVC	ㅌᄆㅏᆨ	
tʰm	o	p̚	CNVC	ㅌᄆㅗᆸ	
tʰm	o	k̚	CNVC	ㅌᄆㅗᆨ	
tʰm	u	p̚	CNVC	ㅌᄆㅜᆸ	
tʰm	u	k̚	CNVC	ㅌᄆㅜᆨ	
tʰn	i	p̚	CNVC	ㅌᄂㅣᆸ	
tʰn	i	k̚	CNVC	ㅌᄂㅣᆨ	
tʰn	a	p̚	CNVC	ㅌᄂㅏᆸ	
tʰn	a	k̚	CNVC	ㅌᄂㅏᆨ	
tʰn	o	p̚	CNVC	ㅌᄂㅗᆸ	
tʰn	o	k̚	CNVC	ㅌᄂㅗᆨ	
tʰn	u	p̚	CNVC	ㅌᄂㅜᆸ	
tʰn	u	k̚	CNVC	ㅌᄂㅜᆨ	
cʰm	i	p̚	CNVC	ㅊᄆㅣᆸ	
cʰm	i	t̚	CNVC	ㅊᄆㅣᆮ	
cʰm	i	k̚	CNVC	ㅊᄆㅣᆨ	
cʰm	a	p̚	CNVC	ㅊᄆㅏᆸ	
cʰm	a	t̚	CNVC	ㅊᄆㅏᆮ	
cʰm	a	k̚	CNVC	ㅊᄆㅏᆨ	
cʰm	o	p̚	CNVC	ㅊᄆㅗᆸ	
cʰm	o	t̚	CNVC	ㅊᄆㅗᆮ	
cʰm	o	k̚	CNVC	ㅊᄆㅗᆨ	
cʰm	u	p̚	CNVC	ㅊᄆㅜᆸ	
cʰm	u	t̚	CNVC	ㅊᄆㅜᆮ	
cʰm	u	k̚	CNVC	ㅊᄆㅜᆨ	
cʰn	i	p̚	CNVC	ㅊᄂㅣᆸ	
cʰn	i	t̚	CNVC	ㅊᄂㅣᆮ	
cʰn	i	k̚	CNVC	ㅊᄂㅣᆨ	
cʰn	a	p̚	CNVC	ㅊᄂㅏᆸ	
cʰn	a	t̚	CNVC	ㅊᄂㅏᆮ	
cʰn	a	k̚	CNVC	ㅊᄂㅏᆨ	
cʰn	o	p̚	CNVC	ㅊᄂㅗᆸ	
cʰn	o	t̚	CNVC	ㅊᄂㅗᆮ	
cʰn	o	k̚	CNVC	ㅊᄂㅗᆨ	
cʰn	u	p̚	CNVC	ㅊᄂㅜᆸ	
cʰn	u	t̚	CNVC	ㅊᄂㅜᆮ	
cʰn	u	k̚	CNVC	ㅊᄂㅜᆨ	
kʰm	i	p̚	CNVC	ㅋᄆㅣᆸ	
kʰm	i	t̚	CNVC	ㅋᄆㅣᆮ	
kʰm	a	p̚	CNVC	ㅋᄆㅏᆸ	
kʰm	a	t̚	CNVC	ㅋᄆㅏᆮ	
kʰm	o	p̚	CNVC	ㅋᄆㅗᆸ	
kʰm	o	t̚	CNVC	ㅋᄆㅗᆮ	
kʰm	u	p̚	CNVC	ㅋᄆㅜᆸ	
kʰm	u	t̚	CNVC	ㅋᄆㅜᆮ	
kʰn	i	p̚	CNVC	ㅋᄂㅣᆸ	
kʰn	i	t̚	CNVC	ㅋᄂㅣᆮ	
kʰn	a	p̚	CNVC	ㅋᄂㅏᆸ	
kʰn	a	t̚	CNVC	ㅋᄂㅏᆮ	
kʰn	o	p̚	CNVC	ㅋᄂㅗᆸ	
kʰn	o	t̚	CNVC	ㅋᄂㅗᆮ	
kʰn	u	p̚	CNVC	ㅋᄂㅜᆸ	
kʰn	u	t̚	CNVC	ㅋᄂㅜᆮ	
